from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,best_valid_exact_match
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_2,24.304899215698242
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_2,26.462099075317383
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_2,26.605899810791016
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_2,25.98270034790039
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0478999987244606
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,22.91469955444336
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,19.223400115966797
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,22.531200408935547
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,24.304899215698242
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_2,23.681699752807617
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_2,22.051799774169922
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_2,23.154399871826172
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_2,22.003799438476562
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_998-1024_mem10/run_1,25.503400802612305
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998-1024_mem10/run_1,20.853300094604492
